system_time, x, y, z 
45.54,-0.1097,0.166779,-0.0449021
45.659,-0.088045,0.185482,-0.0502107
45.775,-0.0669196,0.202333,-0.0570789
45.897,-0.046301,0.217195,-0.0625246
46.017,-0.0278774,0.230266,-0.0633425
46.14,-0.00960338,0.241967,-0.0591312
46.261,0.00804532,0.251409,-0.0535127
46.375,0.0238581,0.258786,-0.0486308
46.498,0.0376657,0.26452,-0.0455473
46.618,0.0464235,0.266087,-0.0465582
46.735,0.0489594,0.259724,-0.0516382
46.852,0.0436625,0.248503,-0.058293
46.975,0.0332265,0.236216,-0.0623824
47.09,0.0259448,0.220606,-0.0614731
47.209,0.0225167,0.198893,-0.056835
47.327,0.0178024,0.175676,-0.0520802
47.448,0.0104928,0.150237,-0.0483514
47.566,0.00269207,0.123914,-0.0484581
47.683,-0.00323544,0.0977687,-0.0533044
47.797,-0.00648774,0.0720939,-0.0604114
47.912,-0.00936147,0.0471957,-0.0671322
48.031,-0.0144921,0.0232767,-0.0711708
48.149,-0.0203195,0.00303909,-0.0727558
48.274,-0.0235943,-0.0138364,-0.07588
48.391,-0.0227974,-0.0228542,-0.0831901
48.509,-0.0211543,-0.023685,-0.0929183
48.628,-0.0186273,-0.0179399,-0.101763
48.744,-0.0120613,-0.0105073,-0.106797
48.86,-0.00180714,-0.00625813,-0.108255
48.982,0.00966705,-0.00720967,-0.109677
49.105,0.0174927,-0.0124681,-0.113187
49.222,0.0170649,-0.021108,-0.117795
49.345,0.011592,-0.0339961,-0.122047
49.46,0.00787102,-0.0487535,-0.125293
49.577,0.00714408,-0.0644804,-0.127945
49.694,0.0074759,-0.0796961,-0.129779
52.923,-0.0826884,-0.155027,-0.121315
53.04,-0.0814211,-0.156818,-0.109769
53.157,-0.0801385,-0.159248,-0.100279
53.276,-0.0782364,-0.161504,-0.092898
53.394,-0.075417,-0.162707,-0.0865124
53.51,-0.0728173,-0.163077,-0.0794106
53.628,-0.0717264,-0.163282,-0.0708355
53.742,-0.0728922,-0.163401,-0.0654812
53.855,-0.0760457,-0.163225,-0.066233
53.967,-0.082779,-0.163206,-0.0703834
54.083,-0.093462,-0.163207,-0.075565
54.198,-0.104881,-0.162299,-0.0785673
54.316,-0.115442,-0.160911,-0.0726288
54.435,-0.126393,-0.159795,-0.060767
54.55,-0.137318,-0.157636,-0.0496976
54.67,-0.147041,-0.15304,-0.0414376
54.786,-0.154751,-0.146581,-0.0397662
54.896,-0.161984,-0.138857,-0.0440182
55.01,-0.167726,-0.128697,-0.0500228
55.127,-0.170103,-0.11757,-0.0547472
55.243,-0.167904,-0.11047,-0.0564642
55.358,-0.16699,-0.1077,-0.0565506
55.474,-0.167487,-0.109272,-0.0562102
55.586,-0.168892,-0.11346,-0.0567385
55.701,-0.169105,-0.117827,-0.0578612
55.818,-0.166792,-0.120317,-0.0589483
55.935,-0.162637,-0.121284,-0.0596443
56.052,-0.15265,-0.122418,-0.0600964
56.171,-0.133638,-0.12518,-0.0602285
56.287,-0.110775,-0.129815,-0.0604164
56.398,-0.0913163,-0.136932,-0.0627278
56.511,-0.0768757,-0.147442,-0.0667258
56.622,-0.0657142,-0.159581,-0.0695096
56.738,-0.054772,-0.172538,-0.0668274
56.851,-0.043177,-0.182882,-0.0582574
56.965,-0.0300501,-0.189806,-0.0469544
57.083,-0.0165401,-0.19364,-0.035499
57.198,-0.00541451,-0.194929,-0.0280568
57.317,0.00529193,-0.194299,-0.0253594
57.431,0.0164117,-0.191513,-0.0272085
57.545,0.0271143,-0.187431,-0.0301955
57.66,0.0355139,-0.183594,-0.0327203
57.776,0.0411081,-0.180659,-0.0337312
57.89,0.0434881,-0.178058,-0.0322834
58.003,0.0434668,-0.172815,-0.0307848
58.118,0.0416401,-0.1634,-0.0296875
58.232,0.0392876,-0.149492,-0.0296926
58.347,0.0376652,-0.131265,-0.0313487
58.459,0.0368715,-0.112015,-0.0331318
58.57,0.0366647,-0.0925535,-0.0354736
58.68,0.0373917,-0.0726924,-0.0366471
58.792,0.0404741,-0.0527566,-0.0350418
58.912,0.0465479,-0.0337577,-0.0321767
59.027,0.0517449,-0.0186441,-0.0283312
59.141,0.0512178,-0.00614908,-0.0241605
59.255,0.0514357,0.00464742,-0.019304
59.371,0.0512898,0.0147028,-0.0152298
59.482,0.0513621,0.023715,-0.0119228
59.596,0.0513445,0.0327932,-0.00958088
59.709,0.0513573,0.0419894,-0.00885444
59.819,0.0513803,0.0512999,-0.010922
59.932,0.0513691,0.0608964,-0.0137719
60.043,0.0513487,0.0706323,-0.0168808
60.159,0.0513426,0.0800221,-0.0193853
60.271,0.0513053,0.0878285,-0.0203657
60.385,0.0513296,0.0937463,-0.0204114
60.498,0.0513504,0.0954277,-0.020767
60.615,0.0513137,0.091511,-0.0223723
60.727,0.0513274,0.082563,-0.0254711
60.841,0.0512863,0.0687362,-0.0297688
60.951,0.0512297,0.0530005,-0.0336194
61.065,0.0507265,0.0354583,-0.0363118
61.177,0.0489542,0.0175723,-0.0372313
61.287,0.0456438,-0.000217215,-0.0367487
61.402,0.0409646,-0.0192065,-0.0372974
61.514,0.0364105,-0.0384254,-0.0401726
61.632,0.0313892,-0.0562308,-0.0446278
61.746,0.0259887,-0.0672205,-0.0477876
61.86,0.0202768,-0.0735569,-0.0494894
61.97,0.0157861,-0.0793501,-0.0512166
62.084,0.0134424,-0.0855645,-0.0532943
62.937,0.0108944,-0.0786064,-0.0608228
63.05,0.0112012,-0.0750627,-0.0639267
63.164,0.0112193,-0.0713889,-0.0672084
63.276,0.0106968,-0.0681566,-0.0697433
63.386,0.00981323,-0.0650348,-0.0714604
63.497,0.00893283,-0.0609791,-0.073152
63.615,0.00835371,-0.0558709,-0.075184
63.726,0.0081825,-0.0513432,-0.0772414
63.839,0.00826558,-0.0483091,-0.0794004
63.955,0.00868597,-0.0468149,-0.0817321
64.071,0.00938057,-0.0461914,-0.0842061
64.181,0.010038,-0.0459723,-0.0861568
64.295,0.0101477,-0.0458297,-0.0871372
64.409,0.00972965,-0.0456572,-0.0870102
64.522,0.00915824,-0.0455452,-0.0863194
64.637,0.00865029,-0.045465,-0.0855015
64.749,0.00832211,-0.0453706,-0.0850951
64.864,0.00825242,-0.0453514,-0.0849732
64.975,0.00944715,-0.0461322,-0.0845058
65.087,0.0119029,-0.0481562,-0.0832307
65.2,0.0139978,-0.0512404,-0.080706
65.318,0.0146922,-0.0542303,-0.0778866
65.435,0.0142524,-0.0560917,-0.0757072
65.547,0.0136685,-0.0571245,-0.0741883
65.661,0.0131213,-0.0575388,-0.0731723
65.775,0.0127688,-0.0575829,-0.0724814
65.891,0.0129156,-0.057595,-0.0720141
66.004,0.0131651,-0.0575129,-0.0715162
66.116,0.0130454,-0.0574863,-0.0704342
66.232,0.0127899,-0.0581659,-0.0687832
66.349,0.0144716,-0.0617665,-0.0677723
66.464,0.0187836,-0.0692359,-0.0679501
66.576,0.0228216,-0.0785659,-0.069215
66.687,0.0258974,-0.0855584,-0.070866
66.8,0.0290139,-0.0854446,-0.074864
66.917,0.0329812,-0.0777213,-0.080203
67.029,0.0392165,-0.0693473,-0.0840994
67.145,0.0484968,-0.0666575,-0.0861263
67.26,0.0512637,-0.0723543,-0.0858317
67.375,0.0483885,-0.0844228,-0.0855472
67.492,0.0489265,-0.102337,-0.0850748
67.606,0.0516366,-0.123621,-0.0842213
67.719,0.05133,-0.14462,-0.08509
67.834,0.0513859,-0.16493,-0.0852983
67.95,0.0509705,-0.183667,-0.0846785
68.064,0.0513018,-0.200277,-0.0830224
68.18,0.0513592,-0.212823,-0.0779628
68.297,0.0513276,-0.218799,-0.066736
68.416,0.0512919,-0.218283,-0.0561594
68.534,0.0512494,-0.213291,-0.0527253
68.65,0.051241,-0.204525,-0.058166
68.765,0.0512463,-0.191558,-0.0676605
68.883,0.0512443,-0.175011,-0.0760171
