time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
2.78,-0.0115924,0.0555552,-0.132705,-0.0311616,-0.092046,-0.135362,0,130,17.3047,3.56152,-36.9839,0,0
2.798,-0.00479129,0.0570682,-0.131872,-0.0221953,-0.0898796,-0.135362,0,130,4.38968,-2.48096,-25.729,0,0
2.816,0.00264544,0.0585163,-0.130668,-0.012391,-0.0878062,-0.135362,0,130,-6.98727,-1.27247,-33.273,0,0
2.833,0.00920618,0.059796,-0.129377,-0.00374158,-0.0859739,-0.135362,0,130,-20.9033,-3.5918,-36.9839,0,1
2.851,0.0143476,0.0607884,-0.128392,0.00303667,-0.084553,-0.135362,0,130,-27.6416,-3.88477,-42.5259,0,1
2.868,0.0172394,0.0614234,-0.128158,0.0068491,-0.0836438,-0.135362,0,130,-33.684,-4.2754,-46.3345,0,1
2.886,0.017639,0.0617199,-0.129032,0.00737592,-0.0832192,-0.135362,0,130,-32.7563,-6.60694,-52.4868,0,1
2.904,0.0154486,0.0615118,-0.130673,0.00448818,-0.0835172,-0.135362,0,130,-31.5722,-5.88672,-40.8413,0,0
2.922,0.0110754,0.0607309,-0.132537,-0.00127727,-0.0846353,-0.135362,186.41,130,-16.5088,-2.07813,-50.4849,0,0
2.941,0.00456911,0.0595158,-0.134432,-0.00985491,-0.0863751,-0.135362,189.572,130,-11.5039,-1.6875,-52.0474,0,0
2.958,-0.0021521,0.0581672,-0.135545,-0.0187159,-0.0883061,-0.135362,190.759,130,-7.06051,0.87598,-67.9898,0,0
2.977,-0.00937284,0.056755,-0.135382,-0.0282354,-0.0903281,-0.135362,191.003,130,7.8931,0.192371,-53.439,0,0
2.997,-0.015577,0.0556132,-0.135189,-0.0364148,-0.0919629,-0.135362,190.963,130,27.0093,3.3662,-45.9927,0,0
3.014,-0.0192287,0.054996,-0.135098,-0.041229,-0.0928466,-0.135362,190.52,130,37.5074,6.08836,-30.9292,0,0
3.031,-0.0200628,0.0548676,-0.134722,-0.0423287,-0.0930305,-0.135362,190.013,130,40.9742,7.38231,-27.4624,0,0
3.049,-0.0180274,0.0552658,-0.134071,-0.0396453,-0.0924603,-0.135362,0,130,33.772,5.17284,-34.9087,0,0
3.067,-0.0132065,0.0560316,-0.133396,-0.0332896,-0.0913638,-0.135362,0,130,24.0064,3.98875,-30.5874,0,0
3.084,-0.00654253,0.0570443,-0.13271,-0.0245041,-0.0899138,-0.135362,0,130,13.4229,1.1201,-36.3003,0,0
3.102,0.000844084,0.0581303,-0.13206,-0.0147658,-0.0883589,-0.135362,0,130,1.15482,-2.16359,-27.2915,0,0
3.119,0.00858493,0.0591161,-0.131125,-0.00456061,-0.0869474,-0.135362,0,130,-10.1123,-0.979505,-35.0064,0,0
3.136,0.0150887,0.0598765,-0.130236,0.00401371,-0.0858586,-0.135362,0,130,-24.7485,-4.11671,-37.521,0,0
3.153,0.0200754,0.0603579,-0.129748,0.010588,-0.0851694,-0.135362,0,130,-33.6596,-2.79835,-45.1382,0,1
